IID	sub_pop	sup_pop
HG00099	GBR	EUR
HG00096	GBR	EUR
HG00102	GBR	EUR
HG00104	GBR	EUR
HG00143	GBR	EUR
HG00107	GBR	EUR
HG00109	GBR	EUR
HG00148	GBR	EUR
HG00150	GBR	EUR
HG00155	GBR	EUR
HG00158	GBR	EUR
HG00263	GBR	EUR
HG00160	GBR	EUR
HG00268	FIN	EUR
HG00144	GBR	EUR
HG00177	FIN	EUR
HG00270	FIN	EUR
HG00149	GBR	EUR
HG00247	GBR	EUR
HG00275	FIN	EUR
HG00151	GBR	EUR
HG00254	GBR	EUR
HG00112	GBR	EUR
HG00156	GBR	EUR
HG00259	GBR	EUR
HG00117	GBR	EUR
HG00113	GBR	EUR
HG00127	GBR	EUR
HG00124	GBR	EUR
HG00118	GBR	EUR
HG00134	GBR	EUR
HG00159	GBR	EUR
HG00174	FIN	EUR
HG00120	GBR	EUR
HG00139	GBR	EUR
HG00173	FIN	EUR
HG00179	FIN	EUR
HG00125	GBR	EUR
HG00141	GBR	EUR
HG00178	FIN	EUR
HG00181	FIN	EUR
HG00233	GBR	EUR
HG00188	FIN	EUR
HG00278	FIN	EUR
HG00180	FIN	EUR
HG00186	FIN	EUR
HG00238	GBR	EUR
HG00190	FIN	EUR
HG00280	FIN	EUR
HG00185	FIN	EUR
HG00249	GBR	EUR
HG00240	GBR	EUR
HG00234	GBR	EUR
HG00285	FIN	EUR
HG00248	GBR	EUR
HG00251	GBR	EUR
HG00245	GBR	EUR
HG00239	GBR	EUR
HG00312	FIN	EUR
HG00250	GBR	EUR
HG00256	GBR	EUR
HG00098	GBR	EUR
HG00114	GBR	EUR
HG00189	FIN	EUR
HG00255	GBR	EUR
HG00232	GBR	EUR
HG00101	GBR	EUR
HG00119	GBR	EUR
HG00235	GBR	EUR
HG00128	GBR	EUR
HG00237	GBR	EUR
HG00106	GBR	EUR
HG00121	GBR	EUR
HG00242	GBR	EUR
HG00130	GBR	EUR
HG00244	GBR	EUR
HG00252	GBR	EUR
HG00246	GBR	EUR
HG00261	GBR	EUR
HG00135	GBR	EUR
HG00129	GBR	EUR
HG00257	GBR	EUR
HG00253	GBR	EUR
HG00266	FIN	EUR
HG00142	GBR	EUR
HG00131	GBR	EUR
HG00132	GBR	EUR
HG00258	GBR	EUR
HG00273	FIN	EUR
HG00318	FIN	EUR
HG00136	GBR	EUR
HG00137	GBR	EUR
HG00260	GBR	EUR
HG00146	GBR	EUR
HG00320	FIN	EUR
HG00097	GBR	EUR
HG00182	FIN	EUR
HG00126	GBR	EUR
HG00153	GBR	EUR
HG00325	FIN	EUR
HG00100	GBR	EUR
HG00187	FIN	EUR
HG00133	GBR	EUR
HG00110	GBR	EUR
HG00332	FIN	EUR
HG00105	GBR	EUR
HG00138	GBR	EUR
HG00115	GBR	EUR
HG00262	GBR	EUR
HG00140	GBR	EUR
HG00122	GBR	EUR
HG00267	FIN	EUR
HG00446	CHS	EAS
HG00284	FIN	EUR
HG00103	GBR	EUR
HG00274	FIN	EUR
HG00453	CHS	EAS
HG00304	FIN	EUR
HG00108	GBR	EUR
HG00231	GBR	EUR
HG00458	CHS	EAS
HG00309	FIN	EUR
HG00236	GBR	EUR
HG00465	CHS	EAS
HG00473	CHS	EAS
HG00311	FIN	EUR
HG00243	GBR	EUR
HG00472	CHS	EAS
HG00478	CHS	EAS
HG00265	GBR	EUR
HG00111	GBR	EUR
HG00376	FIN	EUR
HG00480	CHS	EAS
HG00272	FIN	EUR
HG00475	CHS	EAS
HG00116	GBR	EUR
HG00383	FIN	EUR
HG00500	CHS	EAS
HG00277	FIN	EUR
HG00502	CHS	EAS
HG00123	GBR	EUR
HG00403	CHS	EAS
HG00512	CHS	EAS
HG00145	GBR	EUR
HG00514	CHS	EAS
HG00147	GBR	EUR
HG00408	CHS	EAS
HG00524	CHS	EAS
HG00152	GBR	EUR
HG00526	CHS	EAS
HG00154	GBR	EUR
HG00535	CHS	EAS
HG00531	CHS	EAS
HG00157	GBR	EUR
HG00533	CHS	EAS
HG00281	FIN	EUR
HG00542	CHS	EAS
HG00377	FIN	EUR
HG00171	FIN	EUR
HG00538	CHS	EAS
HG00306	FIN	EUR
HG00554	PUR	AMR
HG00384	FIN	EUR
HG00176	FIN	EUR
HG00552	PUR	AMR
HG00313	FIN	EUR
HG00410	CHS	EAS
HG00404	CHS	EAS
HG00183	FIN	EUR
HG00418	CHS	EAS
HG00558	CHS	EAS
HG00422	CHS	EAS
HG00409	CHS	EAS
HG00323	FIN	EUR
HG00420	CHS	EAS
HG00560	CHS	EAS
HG00427	CHS	EAS
HG00411	CHS	EAS
HG00328	FIN	EUR
HG00437	CHS	EAS
HG00565	CHS	EAS
HG00477	CHS	EAS
HG00423	CHS	EAS
HG00330	FIN	EUR
HG00379	FIN	EUR
HG00577	CHS	EAS
HG00530	CHS	EAS
HG00428	CHS	EAS
HG00474	CHS	EAS
HG00381	FIN	EUR
HG00584	CHS	EAS
HG00357	FIN	EUR
HG00442	CHS	EAS
HG00479	CHS	EAS
HG00406	CHS	EAS
HG00589	CHS	EAS
HG00364	FIN	EUR
HG00264	GBR	EUR
HG00501	CHS	EAS
HG00444	CHS	EAS
HG00419	CHS	EAS
